,,Ωbh2,Ωch2,h,τ,ns,lnA,logL,logL_birth,nlive
labels,,$\Omega_b h^2$,$\Omega_c h^2$,$h$,$\tau$,$n_s$,$\ln(10^{10}A_s)$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
0,0.0,0.01876428945303066,0.23671588374903074,0.7395728975464121,0.11546513657570068,1.0667009408463244,1.6752388802409228,-10514813.51102689,-inf,500
1,0.0,0.019513769412203633,0.17299572299392402,0.7941955457798844,0.10875896322759454,0.9127322180402849,1.743341342906699,-9798593.848921578,-inf,499
2,0.0,0.01868068166743626,0.21892612634171488,0.6532617159875259,0.05490307050955888,0.8995779517408933,1.7445576336089585,-8762203.46682483,-inf,498
3,0.0,0.019727168607201813,0.14049385280213844,0.7920452497375928,0.07101985965417436,0.8858665482521041,1.6616955133058693,-8478978.86470348,-inf,497
4,0.0,0.023973509781613778,0.21180842202068922,0.6876023693433234,0.1178886181566586,0.8543666574292328,1.8178106176015392,-8295401.564161778,-inf,496
5,0.0,0.0224318234039498,0.1870949377869126,0.7568009929783954,0.05129067874235083,0.9615101098531094,1.6194797125156895,-8019841.736245319,-inf,495
6,0.0,0.019118152796947827,0.22348278842382224,0.7480482398891003,0.04187091694534516,1.0550495704322156,1.6775948809331285,-8003857.637591297,-inf,494
7,0.0,0.024201917866326972,0.22655518317979972,0.8001364123574873,0.04855761880734612,0.9484559355854423,1.7203978026553874,-7995190.812075396,-inf,493
8,0.0,0.0189238123093175,0.2103914685578394,0.7244555188177094,0.07255332600932872,1.0905882329584586,1.6701009801473576,-7768462.172108748,-inf,492
9,0.0,0.02431477199018582,0.16657692372777405,0.776892398916437,0.11076614172243501,0.9031788232908324,1.743390164422821,-7719607.603098183,-inf,491
10,0.0,0.023676963033226674,0.2071924368248682,0.7142054111206484,0.06724248598209122,0.9996468092083999,1.6205241866223665,-7657171.76378236,-inf,490
11,0.0,0.01921725253359828,0.20108855111109858,0.6945444412351934,0.08348285817026528,1.0020522520100006,1.7414662284514089,-7615925.7627730835,-inf,489
12,0.0,0.021303516886588728,0.2485088072999055,0.7038970498466603,0.08488443859264184,0.8475761764556335,1.9882977786388927,-7499140.347375241,-inf,488
13,0.0,0.02117154336112331,0.21702414698455585,0.7008450498482298,0.11302127992624325,0.9165443239487108,1.8905680248722554,-7490139.7872560965,-inf,487
14,0.0,0.02427621546225974,0.24518744551496457,0.7102326209286989,0.09123278832563433,1.014972924687738,1.7269511998347125,-7480494.3215918895,-inf,486
15,0.0,0.023061250585255363,0.25269562856630656,0.7124097744886251,0.04312053642772929,0.8998823635380575,1.8181504523390672,-7418727.509302218,-inf,485
16,0.0,0.024982365121473938,0.1892165337837191,0.7833083907178309,0.07706819221648915,0.8570286364625248,1.8190472426363429,-7298340.090925456,-inf,484
17,0.0,0.02466366324497993,0.1622652541315413,0.8122909951632072,0.07827189974965668,1.0150243920651916,1.632362660980257,-6954319.409585854,-inf,483
18,0.0,0.023552268536363035,0.22911992132066245,0.6741605498544638,0.07648527343156537,1.018669752882816,1.6914489468409688,-6929669.544107944,-inf,482
19,0.0,0.024633228086494135,0.243828086058057,0.7060489213173641,0.07669294074804671,1.0017230223481186,1.7480433843778291,-6894040.610738776,-inf,481
20,0.0,0.018839068729912894,0.1367176628389134,0.7815664053008458,0.04118547945811404,0.9915006507293621,1.6179354651008517,-6892682.139126569,-inf,500
21,0.0,0.02374993808718235,0.17738780269166565,0.7956431128830911,0.09881916544055407,0.8772582038150237,1.8843533385213336,-6774788.069891669,-inf,499
22,0.0,0.023318255956899018,0.20363316411825977,0.6648026703069715,0.042770207848750845,0.8589553406516067,1.7544567021980781,-6768644.355486363,-inf,498
23,0.0,0.019596220988554736,0.20484272842446977,0.8004989829484757,0.10203006423659375,0.8979813860195629,2.066881463849424,-6728892.333518328,-inf,497
24,0.0,0.020671262398676022,0.2527245042423672,0.7686405852595706,0.0817854221084858,0.8697424514231048,2.1384681444216858,-6358635.435216723,-inf,496
25,0.0,0.024922898401856637,0.2470753543529468,0.7053912083536557,0.0673977138615943,0.9193969891148492,1.8800036959794533,-6271974.989078807,-inf,495
26,0.0,0.023409718609593608,0.2530842815933595,0.7307271220274665,0.06407843005104501,1.0061915560816272,1.848016116671626,-6126205.978506586,-inf,494
